event_name,location,event_url,type
AHA Berlin,"Bergmannstraße 68, 10961 Berlin",https://www.facebook.com/AHA-Berlin-427566990689415/,coworking_space
Ahoy Berlin,"Wattstraße 1, 13355 Berlin",http://www.ahoyberlin.com/,coworking_space
Alte Kantine Wedding,"Uferstr. 8-1, 13357 Berlin",http://alte-kantine-wedding.de/coworking/,coworking_space
AMAPOLA COWORKING,"Scharnhorststraße 24, 10115 Berlin",www.amapola-coworking.de,coworking_space
Amarantus,"Matternstr. 16, 10249 Berlin",http://mattern16.amarantus.de/,coworking_space
Amplifier,"Gustav-Meyer-Allee 25, 13355 Berlin",https://www.amplifier.berlin/,coworking_space
ANTON & LUISA,"Wöhlertstraße 20, 10115 Berlin",http://www.antonluisa.de,coworking_space
B+Office,"Dudenstraße 10, 10965 Berlin",http://bplusoffice.de,coworking_space
Betahaus 1,"Rudi-Dutschke-Straße 23, 10969 Berlin",http://www.betahaus.com/berlin/,coworking_space
Betahaus 2,"Harzer Straße 39, Berlin 12059",http://www.betahaus.com/berlin/,coworking_space
Bett – Raum für Designkomparative e. V.,"Wilhelminenhofstr. 19, 12459 Berlin",http://bett-designkomparative.de,coworking_space
"Beziehungsweise - Netzwerk für Kommunikation 
und Entwicklung","Zimmerstraße 68, 10117 Berlin",http://www.beziehungsweise-kommunikation.de/de/,coworking_space
Blogfabrik,"Oranienstraße 185, 10999 Berlin",http://blogfabrik.de/,coworking_space
Boho Space,"Bülowstraße 6, 10783 Berlin",https://boho-space-coworking-offices-events.business.site/?utm_source=gmb&utm_medium=referral,coworking_space
Büro,"Gneisenaustraße 53a (am Südstern) , 10961 Berlin",http://buero.kommunikationsanliegen.de/,coworking_space
Centralstudio,"Heidestraße 50, 10557 Berlin",http://www.centralstudio.org/html/centralstudio_01.htm,coworking_space
CleanTech Innovation Center,"Wolfener Straße 32-34, Haus K - 4. OG 12681 Berlin",http://cleantech-innovationcenter.de/,coworking_space
Co.Up,"Adalbertstr. 7-8, 10999 Berlin",http://co-up.de/contact.html,coworking_space
CO23 Berlin,"Stresemannstraße 23, 10963 Berlin",http://www.co23-berlin.de/,coworking_space
CoWomen Coworking Space ,"Am Krögel 2, 10179 Berlin",https://CoWomen.com,coworking_space
Coworking Deluxe,"Pflügerstr. 18, 12047 Berlin",https://www.coworking-deluxe.com/,coworking_space
Coworking Toddler,"Greifenhagener Str. 48, 10437 Berlin",http://www.coworkingtoddler.com/,coworking_space
Coworking Toddler,"Maybachufer 37, 12047 Berlin",https://www.coworkingtoddler.com/,coworking_space
Creative Media Lab,"Alexanderstraße 7, 10178 Berlin",http://www.creativemedialab.de,coworking_space
Cubicmeter,"Rodenbergstraße 29, 10439 Berlin",http://www.cubicmeter.org,coworking_space
D36 Coworking Space,"Dresdener Straße 36, 10179 Berlin",http://www.d36-berlin.com/#Home,coworking_space
Design Offices Berlin Am Zirkus,"Bertolt- Brecht- Platz 3, 10117 Berlin",https://www.designoffices.de/standorte/berlin-am-zirkus/,coworking_space
Easy Busy Coworking Space,"Bernauer Str. 49, 10435 Berlin",http://www.easybusyspace.de,coworking_space
Element,"Belziger Str. 25, 10823 Berlin",http://www.element-berlin.de/,coworking_space
Enklave,"Kienitzer Straße 98, 12049 Berlin",http://www.enklave.de/,coworking_space
Enter-Brain-Ment GmbH,"Rigaer Str. 29a, 10247 Berlin",http://coworking.enter-brain-ment.de/,coworking_space
ESDIP Berlin,"Grünberger Str. 48, 10245",https://esdipberlin.com/coworking-berlin/,coworking_space
Excellent Business Centers,Unter den Linden 21. 10117 Berlin ,http://www.excellent-bc.de/location/berlin-unter-den-linden-21/,coworking_space
Factory,"Rheinsberger Straße 76/77, 10115 Berlin",http://www.factoryberlin.com/coworking/about/,coworking_space
Fairmondo CoopSpace,"Glogauer Str. 21, 10999 Berlin ",https://www.fairmondo.de/coopspace,coworking_space
FIREWORKS,"Stockholmer Str. 4, 13359 Berlin",https://fireworkscoworking.wordpress.com/,coworking_space
firmaSPACE,"Post Straße 21-22, 10178 Berlin", https://www.firma.de/magazin/jetzt-bewerben-der-firma-de-space-in-berlin-geht-in-die-2-runde/ ,coworking_space
Fritz46 GmbH,"Lübecker Straße 46, 10559 Berlin",http://fritz46.de,coworking_space
Garage berlin GmbH,"Holsteinische Str. 39-40, 12161 Berlin",https://garageberlin.de/,coworking_space
gowiththeflow.berlin,"Blockdammweg 1, 10317 Berlin",https://gowiththeflow.berlin,coworking_space
Gründungszentrum an der HWR Berlin,"Rohrdamm 88, 13629 Berlin",http://www.startup-incubator.berlin/angebot/#coworking,coworking_space
HeartSpace ,"Urbanstraße 71, 10967 Berlin",https://www.heartspaceberlin.com/,coworking_space
Hello Waldemar,"Waldemarstraße 33a, 10999 Berlin ",http://krautundkonfetti.de/studio/,coworking_space
Hope Apartments,"Linienstr. 214, 10119 Berlin",http://annahope6.wix.com/linien214,coworking_space
